OBJECTID,DATE_REPORTED,KPI_GROUP1,OVERALL_TESTED_TST,TOTAL_RESIDENTS_TESTED_TST,TOTAL_POSITIVES_TST,NO_DEATH_TST,NO_RECOVERED_TST,KPI_GROUP2,TOTAL_ICU_BEDS_HOS,ICU_BEDS_AVAILABLE_HOS,TOTAL_VENTILATORS_HOS,VENTILATORS_IN_USE_HOS,VENTILATORS_AVAILABLE_HOS,TOTAL_COVID19_PATIS_DCHOS_HOS,TOTAL_COVID19_PATIENTS_ICU_HOS,TOTAL_COVID19_NON_DCHOS_HOS,KPI_GROUP3,TOTAL_POSITIVE_FEMS,TOTAL_POSITIVE_OUT_FEMS,PERSON_RETRND_TO_WORK_FEMS,PERSON_QUARANTINE_FEMS,OUT_POSITIVE_QUARANTINE_FEMS,RETURND_TO_WORK_FEMS,KPI_GROUP4,TOTAL_POSITIVE_PSMPD,TOTAL_POSITIVE_OUT_PSMPD,RECOVRD_RETURND_TO_WORK_PSMPD,PERSON_QUARANTINE_PSMPD,OUT_POSITIVE_QUARANTINE_PSMPD,RETURND_TO_WORK_PSMPD,LIVE_LOST_MPD,KPI_GROUP5,TOTAL_POSITIVE_PSDP,TOTAL_POSITIVE_OUT_PSDP,RECOVRD_RETURND_TO_WORK_PSDP,PERSON_QUARANTINE_PSDP,OUT_POSITIVE_QUARANTINE_PSDP,RETURND_TO_WORK_PSDP,LIVE_LOST_PERSONNEL_PSDP,KPI_GROUP6,TOTAL_POSITIVE_PSDR,TOTAL_POSITIVE_ISO_PSDR,RECOVRD_RES_PSDR,RES_QUARANTINE_PSDR,OUT_POSITIVE_QUARANTINE_PSDR,RETURND_TO_GP_PSDR,LIVE_LOST_RES_PSDR,KPI_GROUP7,TOTAL_POSITIVE_PSDYP,TOTAL_POSITIVE_OUT_PSDYP,RETURND_TO_WORK_PSDYP,PERSON_QUARANTINE_PSDYP,OUT_POSITIVE_QUARANTINE_PSDYP,RETURND_PER_TO_WORK_PSDYP,LIVE_LOST_PERSONNEL_PSDYP,KPI_GROUP8,TOTAL_POSITIVE_PSDYR,TOTAL_POSITIVE_OUT_PSDYR,RECOVRD_RES_PSDYR,RES_QUARANTINE_PSDYR,OUT_POSITIVE_QUARANTINE_PSDYR,NO_LONGER_ISO_QUAR_PSDYR,RETURND_TO_GP_PSDYR,KPI_GROUP9,TOTAL_POSITIVE_PSOUCP,TOTAL_POSITIVE_OUT_PSOUCP,RETURND_TO_WORK_PSOUCP,PERSON_QUARANTINE_PSOUCP,OUT_POSITIVE_QUARANTINE_PSOUCP,RETURND_PER_TO_WORK_PSOUCP,KPI_GROUP10,TOTAL_REMOTE_QTRN_SHELTER_DHS,TOTAL_REMOTE_QRTN_DHS,REMOTE_QUARN_SHELTER_DHS,LIVE_LOST_DHS,KPI_GROUP11,TOTAL_POSITIVE_SEHP,PERSON_QUARANTINE_SEHP,POSITIVE_OUT_QUARN_SEHP,RETURND_TO_WORK_SEHP,LIVE_LOST_SEHP,KPI_GROUP12,IIC_QRNT_ISLTD_POSITIVE_SEHI,IIC_QRNT_ISLTD_EXPO_SYM_SEHI,TOTAL_IIC_ISLD_QTRN_SEHI,TOTAL_RES_NOT_ISLTD_QRTN_SEHI,LIVE_LOST_SEHI,KPI_GROUP13,DDA_POSITIVE_HSDDS,DDA_RECOVERED_HSDDS,DDA_LIVE_LOST_HSDDS,KPI_GROUP14,TOTAL_POSITIVE_CFSA,PERSON_QUARANTINE_CFSA,RETURND_TO_WORK_CFSA,LIVE_LOST_CFSA,KPI_GROUP15,TOTAL_POSITIVE_DMVP,TOTAL_POSITIVE_OUT_DMVP,RECOVERED_RETURNED_WRK_DMVP,TOTAL_QUARN_DMVP,POSITIVE_OUT_QUARN_DMVP,RETURNED_TO_WORK_DMVP,LIVE_LOST_DMVP,KPI_GROUP16,TOTAL_POSITIVE_CONF_DCPSPWIP,TOTAL_RPRTD_PENDCONF_DCPSPWIP,TOTAL_CURR_QUARN_DCPSPWIP,KPI_GROUP17,TOTAL_POSITIVE_CONF_DCPSSPIPA,TOTAL_RPRTD_PENDCONF_DCPSSPIPA,TOTAL_CURR_QUARN_DCPSSPIPA
187,2020/09/09 00:00:00+00,Testing,319188,190996,14412,616,11498,Hospitals,345,63,440,180,260,87,20,2029,Public Safety - FEMS,141,12,129,70,82,2108,Public Safety - MPD,240,20,219,49,69,1878,1,Public Safety - DOC - Personnel,97,1,95,0,1,317,1,Public Safety - DOC -Residents,214,1,205,102,103,1316,1,Public Safety - DYRS - Personnel,39,1,37,0,1,197,1,Public Safety - DYRS -Residents,16,0,16,78,78,0,0,Public Safety - OUC -Personnel,16,2,14,8,10,74,Human Services - DHS,342,69,47,21,Saint Elizabeths Hospital (SEH-Personnel) ,141,2,12,284,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),83,1,195,59,14,Human Services - DDS,249,198,33,Human Services - CFSA,18,10,70,1,DMV Personnel,8,0,6,2,0,1,2,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
188,2020/09/10 00:00:00+00,Testing,321436,193856,14493,616,11526,Hospitals,345,72,440,176,264,95,25,2083,Public Safety - FEMS,141,12,130,78,90,2115,Public Safety - MPD,240,19,220,39,58,1891,1,Public Safety - DOC - Personnel,97,1,95,0,1,317,1,Public Safety - DOC -Residents,214,1,205,102,103,1316,1,Public Safety - DYRS - Personnel,39,1,37,0,1,197,1,Public Safety - DYRS -Residents,16,0,16,77,77,0,0,Public Safety - OUC -Personnel,16,2,14,8,10,74,Human Services - DHS,344,69,53,21,Saint Elizabeths Hospital (SEH-Personnel) ,141,2,12,284,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),83,1,195,59,14,Human Services - DDS,249,198,33,Human Services - CFSA,18,10,70,1,DMV Personnel,8,0,6,2,0,1,2,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
189,2020/09/11 00:00:00+00,Testing,327437,194043,14552,616,11561,Hospitals,345,66,440,179,261,98,24,2105,Public Safety - FEMS,143,10,133,82,92,2118,Public Safety - MPD,241,17,223,37,54,1895,1,Public Safety - DOC - Personnel,97,1,95,0,1,317,0,Public Safety - DOC -Residents,215,2,205,102,104,1311,1,Public Safety - DYRS - Personnel,39,0,38,0,0,198,1,Public Safety - DYRS -Residents,16,0,16,76,76,0,0,Public Safety - OUC -Personnel,16,2,14,8,10,74,Human Services - DHS,344,67,49,21,Saint Elizabeths Hospital (SEH-Personnel) ,141,2,12,284,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),83,1,190,55,14,Human Services - DDS,249,198,33,Human Services - CFSA,18,10,70,1,DMV Personnel,8,0,6,2,0,1,2,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
190,2020/09/12 00:00:00+00,Testing,330641,195160,14592,616,11574,Hospitals,345,66,440,197,243,88,23,1981,Public Safety - FEMS,144,12,132,100,112,2128,Public Safety - MPD,241,17,223,37,54,1895,1,Public Safety - DOC - Personnel,97,1,95,0,1,317,1,Public Safety - DOC -Residents,215,2,205,100,102,1313,1,Public Safety - DYRS - Personnel,39,0,38,0,0,198,1,Public Safety - DYRS -Residents,16,0,16,76,76,0,0,Public Safety - OUC -Personnel,16,2,14,8,10,74,Human Services - DHS,344,68,51,21,Saint Elizabeths Hospital (SEH-Personnel) ,141,2,12,284,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),83,1,190,56,14,Human Services - DDS,250,198,33,Human Services - CFSA,18,10,70,1,DMV Personnel,8,0,6,2,0,1,2,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
191,2020/09/13 00:00:00+00,Testing,332148,195691,14622,616,11592,Hospitals,345,56,440,180,260,91,22,1924,Public Safety - FEMS,144,12,132,100,112,2128,Public Safety - MPD,241,17,223,37,54,1895,1,Public Safety - DOC - Personnel,97,1,95,0,1,317,1,Public Safety - DOC -Residents,215,2,205,108,110,1316,1,Public Safety - DYRS - Personnel,39,0,38,0,0,198,1,Public Safety - DYRS -Residents,16,0,16,76,76,0,0,Public Safety - OUC -Personnel,17,3,14,8,11,74,Human Services - DHS,344,70,53,21,Saint Elizabeths Hospital (SEH-Personnel) ,141,2,12,284,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),83,1,190,56,14,Human Services - DDS,251,198,33,Human Services - CFSA,18,10,70,1,DMV Personnel,8,0,6,2,0,1,2,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
192,2020/09/14 00:00:00+00,Testing,336280,197726,14687,616,11630,Hospitals,345,62,440,178,262,89,23,1968,Public Safety - FEMS,145,11,134,95,106,2136,Public Safety - MPD,243,18,224,35,53,1902,1,Public Safety - DOC - Personnel,98,1,96,0,1,318,1,Public Safety - DOC -Residents,215,2,205,107,109,1317,1,Public Safety - DYRS - Personnel,39,0,38,0,0,198,1,Public Safety - DYRS -Residents,16,0,16,79,79,0,0,Public Safety - OUC -Personnel,17,3,14,8,11,74,Human Services - DHS,344,82,64,21,Saint Elizabeths Hospital (SEH-Personnel) ,141,2,10,286,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),83,1,191,56,14,Human Services - DDS,252,198,33,Human Services - CFSA,18,10,70,1,DMV Personnel,8,0,6,2,0,1,2,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
193,2020/09/15 00:00:00+00,Testing,338241,198409,14743,617,11691,Hospitals,345,62,440,187,253,91,24,2091,Public Safety - FEMS,146,12,134,93,105,2137,Public Safety - MPD,243,18,225,30,48,1908,1,Public Safety - DOC - Personnel,98,1,96,0,1,3018,1,Public Safety - DOC -Residents,215,2,205,101,103,1326,1,Public Safety - DYRS - Personnel,39,0,38,0,0,198,1,Public Safety - DYRS -Residents,16,0,16,77,77,0,0,Public Safety - OUC -Personnel,17,3,14,8,11,74,Human Services - DHS,345,80,59,21,Saint Elizabeths Hospital (SEH-Personnel) ,141,2,10,286,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),83,1,191,56,14,Human Services - DDS,252,198,33,Human Services - CFSA,18,10,70,1,DMV Personnel,8,0,6,2,0,1,2,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
194,2020/09/16 00:00:00+00,Testing,341318,199579,14790,619,11763,Hospitals,345,68,440,195,245,100,22,2141,Public Safety - FEMS,146,11,135,97,108,2143,Public Safety - MPD,243,18,96,0,1,318,1,Public Safety - DOC - Personnel,98,1,96,0,1,318,1,Public Safety - DOC -Residents,215,2,205,98,100,1332,1,Public Safety - DYRS - Personnel,39,0,38,0,0,198,1,Public Safety - DYRS -Residents,16,0,16,78,78,0,0,Public Safety - OUC -Personnel,17,3,14,9,12,74,Human Services - DHS,345,79,56,21,Saint Elizabeths Hospital (SEH-Personnel) ,141,2,10,286,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),83,1,191,56,14,Human Services - DDS,252,198,33,Human Services - CFSA,18,10,70,1,DMV Personnel,8,0,6,2,0,1,2,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
195,2020/09/17 00:00:00+00,Testing,347118,201379,14852,619,11802,Hospitals,345,74,440,173,267,91,24,2127,Public Safety - FEMS,147,12,135,78,90,2153,Public Safety - MPD,243,15,227,30,45,1915,1,Public Safety - DOC - Personnel,98,1,96,0,1,318,1,Public Safety - DOC -Residents,215,2,205,93,95,1346,1,Public Safety - DYRS - Personnel,39,0,38,0,0,198,1,Public Safety - DYRS -Residents,16,0,16,76,76,0,0,Public Safety - OUC -Personnel,17,3,14,6,9,77,Human Services - DHS,345,86,54,21,Saint Elizabeths Hospital (SEH-Personnel) ,141,2,8,288,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),83,1,191,56,14,Human Services - DDS,252,198,33,Human Services - CFSA,18,10,70,1,DMV Personnel,8,0,6,2,0,1,2,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
196,2020/09/18 00:00:00+00,Testing,350877,202618,14902,619,11823,Hospitals,345,57,440,192,248,85,12,2147,Public Safety - FEMS,147,11,136,74,85,2153,Public Safety - MPD,243,14,228,35,49,1914,1,Public Safety - DOC - Personnel,98,1,96,0,1,318,1,Public Safety - DOC -Residents,215,2,205,98,100,1333,1,Public Safety - DYRS - Personnel,39,0,38,0,0,198,1,Public Safety - DYRS -Residents,16,0,16,81,81,0,0,Public Safety - OUC -Personnel,17,3,14,6,9,77,Human Services - DHS,345,83,52,21,Saint Elizabeths Hospital (SEH-Personnel) ,141,2,8,288,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),83,1,195,56,14,Human Services - DDS,252,201,33,Human Services - CFSA,18,10,70,1,DMV Personnel,8,0,6,2,0,1,2,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
197,2020/09/19 00:00:00+00,Testing,355144,204099,14955,620,11829,Hospitals,345,57,440,186,254,86,25,2071,Public Safety - FEMS,147,11,136,67,78,2165,Public Safety - MPD,244,15,228,34,49,1914,1,Public Safety - DOC - Personnel,98,1,96,0,1,318,1,Public Safety - DOC -Residents,215,2,206,87,88,1344,1,Public Safety - DYRS - Personnel,39,0,38,0,0,198,1,Public Safety - DYRS -Residents,16,0,16,82,82,0,0,Public Safety - OUC -Personnel,17,3,14,6,9,77,Human Services - DHS,345,81,52,21,Saint Elizabeths Hospital (SEH-Personnel) ,141,2,8,288,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),83,1,195,56,14,Human Services - DDS,252,201,33,Human Services - CFSA,18,10,70,1,DMV Personnel,8,0,6,2,0,1,2,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
198,2020/09/20 00:00:00+00,Testing,357744,204781,14978,621,11856,Hospitals,345,64,440,183,257,88,26,1964,Public Safety - FEMS,147,11,136,65,76,2172,Public Safety - MPD,244,15,228,34,49,1914,1,Public Safety - DOC - Personnel,98,1,96,0,1,318,1,Public Safety - DOC -Residents,217,2,206,92,94,1344,1,Public Safety - DYRS - Personnel,39,0,38,0,0,198,1,Public Safety - DYRS -Residents,16,0,16,82,82,0,0,Public Safety - OUC -Personnel,17,3,14,6,9,77,Human Services - DHS,345,82,51,21,Saint Elizabeths Hospital (SEH-Personnel) ,141,2,8,288,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),83,0,195,56,14,Human Services - DDS,252,201,33,Human Services - CFSA,18,10,70,1,DMV Personnel,8,0,6,2,0,1,2,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
199,2020/09/21 00:00:00+00,Testing,361633,206165,15021,621,11886,Hospitals,345,64,440,176,264,95,22,1938,Public Safety - FEMS,147,11,136,67,78,2172,Public Safety - MPD,244,14,229,34,49,1914,1,Public Safety - DOC - Personnel,98,0,97,0,0,319,1,Public Safety - DOC -Residents,217,1,207,93,94,1346,1,Public Safety - DYRS - Personnel,39,0,38,0,0,198,1,Public Safety - DYRS -Residents,16,0,16,87,87,0,0,Public Safety - OUC -Personnel,17,3,14,6,9,77,Human Services - DHS,345,81,53,21,Saint Elizabeths Hospital (SEH-Personnel) ,141,2,8,288,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),83,0,195,56,14,Human Services - DDS,253,201,33,Human Services - CFSA,18,10,70,1,DMV Personnel,8,0,6,2,0,1,2,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
200,2020/09/22 00:00:00+00,Testing,363448,206817,15050,621,11929,Hospitals,345,73,440,183,257,92,26,2056,Public Safety - FEMS,147,11,136,59,70,2184,Public Safety - MPD,244,13,230,43,56,1914,1,Public Safety - DOC - Personnel,99,1,97,0,1,319,1,Public Safety - DOC -Residents,217,1,207,95,96,1342,1,Public Safety - DYRS - Personnel,39,0,38,0,0,198,1,Public Safety - DYRS -Residents,16,0,16,86,86,0,0,Public Safety - OUC -Personnel,17,3,14,3,6,80,Human Services - DHS,346,79,55,21,Saint Elizabeths Hospital (SEH-Personnel) ,141,2,8,288,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),83,0,195,56,14,Human Services - DDS,253,201,33,Human Services - CFSA,18,10,70,1,DMV Personnel,8,0,6,2,0,1,2,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
201,2020/09/23 00:00:00+00,Testing,367867,208447,15106,621,11956,Hospitals,345,54,440,179,261,97,29,2057,Public Safety - FEMS,147,11,136,80,91,2201,Public Safety - MPD,244,13,230,53,66,1913,1,Public Safety - DOC - Personnel,100,2,97,0,2,319,1,Public Safety - DOC -Residents,217,1,207,87,88,1343,1,Public Safety - DYRS - Personnel,39,0,38,0,0,198,1,Public Safety - DYRS -Residents,16,0,16,85,85,0,0,Public Safety - OUC -Personnel,17,3,14,4,7,79,Human Services - DHS,346,93,60,21,Saint Elizabeths Hospital (SEH-Personnel) ,141,1,8,288,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),83,0,195,56,14,Human Services - DDS,253,201,33,Human Services - CFSA,18,10,70,1,DMV Personnel,8,0,6,2,0,1,2,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
202,2020/09/24 00:00:00+00,Testing,373586,210143,15163,623,11990,Hospitals,345,55,440,189,251,101,29,2110,Public Safety - FEMS,149,12,137,81,93,2211,Public Safety - MPD,247,16,230,53,69,1913,1,Public Safety - DOC - Personnel,100,2,97,0,2,319,1,Public Safety - DOC -Residents,217,1,207,86,87,1345,1,Public Safety - DYRS - Personnel,39,0,38,0,0,198,1,Public Safety - DYRS -Residents,16,0,16,85,85,0,0,Public Safety - OUC -Personnel,17,3,14,4,7,79,Human Services - DHS,347,104,69,21,Saint Elizabeths Hospital (SEH-Personnel) ,141,1,8,288,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),83,0,195,56,14,Human Services - DDS,253,201,33,Human Services - CFSA,18,10,70,1,DMV Personnel,8,0,6,2,0,1,2,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
203,2020/09/25 00:00:00+00,Testing,377979,211599,15215,624,12029,Hospitals,345,52,440,178,262,101,25,2110,Public Safety - FEMS,150,12,138,75,87,2221,Public Safety - MPD,247,15,230,47,62,1941,1,Public Safety - DOC - Personnel,100,2,97,0,2,319,1,Public Safety - DOC -Residents,217,1,207,88,89,1347,1,Public Safety - DYRS - Personnel,39,0,38,0,0,198,1,Public Safety - DYRS -Residents,16,0,16,86,86,0,0,Public Safety - OUC -Personnel,17,3,14,4,7,79,Human Services - DHS,347,105,71,21,Saint Elizabeths Hospital (SEH-Personnel) ,141,1,8,288,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),83,0,195,56,14,Human Services - DDS,253,201,32,Human Services - CFSA,18,10,70,1,DMV Personnel,8,0,6,2,0,1,2,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
204,2020/09/26 00:00:00+00,Testing,381159,212701,15250,624,12037,Hospitals,345,52,440,180,251,96,29,2037,Public Safety - FEMS,,,,,,,Public Safety - MPD,,,,,,,,Public Safety - DOC - Personnel,,,,,,,,Public Safety - DOC -Residents,,,,,,,,Public Safety - DYRS - Personnel,,,,,,,,Public Safety - DYRS -Residents,,,,,,,,Public Safety - OUC -Personnel,,,,,,,Human Services - DHS,347,106,70,21,Saint Elizabeths Hospital (SEH-Personnel) ,141,1,8,289,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),83,0,195,56,14,Human Services - DDS,253,201,32,Human Services - CFSA,18,10,70,1,DMV Personnel,8,0,6,2,0,1,2,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
205,2020/09/27 00:00:00+00,Testing,383048,213296,15264,624,12053,Hospitals,345,43,440,189,251,90,27,2011,Public Safety - FEMS,,,,,,,Public Safety - MPD,,,,,,,,Public Safety - DOC - Personnel,,,,,,,,Public Safety - DOC -Residents,,,,,,,,Public Safety - DYRS - Personnel,,,,,,,,Public Safety - DYRS -Residents,,,,,,,,Public Safety - OUC -Personnel,,,,,,,Human Services - DHS,347,107,72,21,Saint Elizabeths Hospital (SEH-Personnel) ,141,1,8,289,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),83,0,195,56,14,Human Services - DDS,253,201,32,Human Services - CFSA,18,10,70,1,DMV Personnel,8,0,6,2,0,1,2,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
206,2020/09/28 00:00:00+00,Testing,386396,214731,15300,626,12115,Hospitals,345,46,440,196,244,93,23,2022,Public Safety - FEMS,151,12,139,89,101,2226,Public Safety - MPD,248,15,232,42,57,1950,1,Public Safety - DOC - Personnel,100,2,97,0,2,319,1,Public Safety - DOC -Residents,217,1,207,90,91,1349,1,Public Safety - DYRS - Personnel,39,0,38,9,9,198,1,Public Safety - DYRS -Residents,16,0,16,78,78,0,0,Public Safety - OUC -Personnel,17,3,14,2,5,80,Human Services - DHS,347,110,77,21,Saint Elizabeths Hospital (SEH-Personnel) ,141,1,8,288,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),83,0,195,56,14,Human Services - DDS,253,201,31,Human Services - CFSA,18,10,70,1,DMV Personnel,8,0,6,2,0,1,2,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
207,2020/09/29 00:00:00+00,Testing,387860,215204,15326,627,12155,Hospitals,345,55,440,205,235,95,28,2118,Public Safety - FEMS,152,13,139,88,101,2239,Public Safety - MPD,250,17,232,36,53,1955,1,Public Safety - DOC - Personnel,100,2,97,0,2,319,1,Public Safety - DOC -Residents,217,1,208,86,86,1358,1,Public Safety - DYRS - Personnel,39,0,38,0,0,198,1,Public Safety - DYRS -Residents,16,0,16,88,88,0,0,Public Safety - OUC -Personnel,17,3,14,2,5,81,Human Services - DHS,347,105,73,21,Saint Elizabeths Hospital (SEH-Personnel) ,141,1,8,288,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),83,0,195,56,14,Human Services - DDS,253,201,31,Human Services - CFSA,18,10,70,1,DMV Personnel,8,0,6,2,0,1,2,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
208,2020/09/30 00:00:00+00,Testing,390180,215920,15358,628,12202,Hospitals,345,69,440,182,258,98,28,2142,Public Safety - FEMS,152,13,139,88,101,2246,Public Safety - MPD,250,16,233,43,59,1976,1,Public Safety - DOC - Personnel,100,2,97,0,2,319,1,Public Safety - DOC -Residents,217,1,208,91,91,1359,1,Public Safety - DYRS - Personnel,39,0,38,0,0,198,1,Public Safety - DYRS -Residents,16,0,16,88,88,0,0,Public Safety - OUC -Personnel,17,3,14,1,4,82,Human Services - DHS,348,85,64,21,Saint Elizabeths Hospital (SEH-Personnel) ,143,1,7,291,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),83,0,196,56,14,Human Services - DDS,253,201,31,Human Services - CFSA,18,10,70,1,DMV Personnel,8,0,6,2,0,1,2,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
209,2020/10/01 00:00:00+00,Testing,394118,217484,15423,629,12252,Hospitals,345,48,440,172,268,101,30,2124,Public Safety - FEMS,153,14,139,91,105,2245,Public Safety - MPD,251,16,234,46,62,1978,1,Public Safety - DOC - Personnel,100,2,97,0,2,319,1,Public Safety - DOC -Residents,217,0,208,99,99,1357,1,Public Safety - DYRS - Personnel,39,0,38,0,0,198,1,Public Safety - DYRS -Residents,16,0,16,86,86,0,0,Public Safety - OUC -Personnel,17,3,14,1,4,82,Human Services - DHS,348,84,64,21,Saint Elizabeths Hospital (SEH-Personnel) ,143,1,7,291,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),83,0,196,56,14,Human Services - DDS,253,213,31,Human Services - CFSA,18,10,70,1,DMV Personnel,8,0,6,2,0,1,2,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
210,2020/10/02 00:00:00+00,Testing,397549,218633,15473,629,12252,Hospitals,345,48,440,180,260,86,27,2120,Public Safety - FEMS,154,15,139,88,103,2258,Public Safety - MPD,251,16,234,49,65,1981,1,Public Safety - DOC - Personnel,101,3,97,0,3,319,1,Public Safety - DOC -Residents,217,0,208,95,95,1342,1,Public Safety - DYRS - Personnel,39,0,38,0,0,198,1,Public Safety - DYRS -Residents,16,0,16,87,87,0,0,Public Safety - OUC -Personnel,17,3,14,1,4,82,Human Services - DHS,348,84,63,21,Saint Elizabeths Hospital (SEH-Personnel) ,143,1,7,291,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),83,0,196,56,14,Human Services - DDS,254,213,31,Human Services - CFSA,18,10,70,1,DMV Personnel,8,0,6,2,0,1,2,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
211,2020/10/03 00:00:00+00,Testing,399825,219389,15519,631,12299,Hospitals,345,54,440,187,253,95,29,2045,Public Safety - FEMS,,,,,,,Public Safety - MPD,,,,,,,,Public Safety - DOC - Personnel,,,,,,,,Public Safety - DOC -Residents,,,,,,,,Public Safety - DYRS - Personnel,,,,,,,,Public Safety - DYRS -Residents,,,,,,,,Public Safety - OUC -Personnel,,,,,,,Human Services - DHS,348,78,63,21,Saint Elizabeths Hospital (SEH-Personnel) ,143,1,7,291,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),83,0,196,56,14,Human Services - DDS,254,213,31,Human Services - CFSA,18,10,70,1,DMV Personnel,8,0,6,2,0,1,2,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
212,2020/10/04 00:00:00+00,Testing,401568,219912,15547,631,12306,Hospitals,345,59,440,191,249,95,28,1949,Public Safety - FEMS,,,,,,,Public Safety - MPD,,,,,,,,Public Safety - DOC - Personnel,,,,,,,,Public Safety - DOC -Residents,,,,,,,,Public Safety - DYRS - Personnel,,,,,,,,Public Safety - DYRS -Residents,,,,,,,,Public Safety - OUC -Personnel,,,,,,,Human Services - DHS,348,78,68,21,Saint Elizabeths Hospital (SEH-Personnel) ,143,1,7,291,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),83,0,198,56,14,Human Services - DDS,254,213,31,Human Services - CFSA,18,10,70,1,DMV Personnel,8,0,6,2,0,1,2,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
213,2020/10/05 00:00:00+00,Testing,410029,222724,15652,631,12350,Hospitals,345,61,440,170,270,105,30,1980,Public Safety - FEMS,156,17,139,68,85,2270,Public Safety - MPD,253,18,234,46,64,1990,1,Public Safety - DOC - Personnel,101,3,97,0,3,319,1,Public Safety - DOC -Residents,217,0,208,80,80,1370,1,Public Safety - DYRS - Personnel,39,0,38,0,0,198,1,Public Safety - DYRS -Residents,16,0,16,85,85,0,0,Public Safety - OUC -Personnel,17,0,17,1,1,85,Human Services - DHS,348,76,62,21,Saint Elizabeths Hospital (SEH-Personnel) ,143,1,7,291,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),83,0,198,56,14,Human Services - DDS,254,213,31,Human Services - CFSA,18,10,70,1,DMV Personnel,8,0,6,2,0,1,2,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
