Window_title,Title,Description1,Category1,Description2,Category2,Value,Value_unit,Value_1,Value_1_unit,Comparison,Timestamp,Chart_info
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,01/26/2022,Measures,Positive Tests,850,cases,784.7,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,01/27/2022,Measures,Positive Tests,571,cases,705.6,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,01/28/2022,Measures,Positive Tests,504,cases,642.3,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,01/29/2022,Measures,Positive Tests,34,cases,588.7,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,01/30/2022,Measures,Positive Tests,214,cases,572.7,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,01/31/2022,Measures,Positive Tests,610,cases,516.4,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,02/01/2022,Measures,Positive Tests,593,cases,482.3,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,02/02/2022,Measures,Positive Tests,470,cases,428,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,02/03/2022,Measures,Positive Tests,383,cases,401.1,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,02/04/2022,Measures,Positive Tests,241,cases,363.6,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,02/05/2022,Measures,Positive Tests,136,cases,378.1,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,02/06/2022,Measures,Positive Tests,126,cases,365.6,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,02/07/2022,Measures,Positive Tests,440,cases,341.3,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,02/08/2022,Measures,Positive Tests,381,cases,311,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,02/09/2022,Measures,Positive Tests,320,cases,289.6,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,02/10/2022,Measures,Positive Tests,265,cases,272.7,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,02/11/2022,Measures,Positive Tests,211,cases,268.4,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,02/12/2022,Measures,Positive Tests,111,cases,264.9,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,02/13/2022,Measures,Positive Tests,63,cases,255.9,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,02/14/2022,Measures,Positive Tests,308,cases,237,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,02/15/2022,Measures,Positive Tests,286,cases,223.4,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,02/16/2022,Measures,Positive Tests,329,cases,224.7,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,02/17/2022,Measures,Positive Tests,273,cases,225.9,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,02/18/2022,Measures,Positive Tests,188,cases,222.6,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,02/19/2022,Measures,Positive Tests,75,cases,217.4,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,02/20/2022,Measures,Positive Tests,52,cases,215.9,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,02/21/2022,Measures,Positive Tests,178,cases,197.3,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,02/22/2022,Measures,Positive Tests,274,cases,195.6,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,02/23/2022,Measures,Positive Tests,210,cases,178.6,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,02/24/2022,Measures,Positive Tests,189,cases,166.6,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,02/25/2022,Measures,Positive Tests,76,cases,150.6,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,02/26/2022,Measures,Positive Tests,66,cases,149.3,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,02/27/2022,Measures,Positive Tests,46,cases,148.4,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,02/28/2022,Measures,Positive Tests,175,cases,148,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/01/2022,Measures,Positive Tests,146,cases,129.7,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/02/2022,Measures,Positive Tests,141,cases,119.9,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/03/2022,Measures,Positive Tests,110,cases,108.6,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/04/2022,Measures,Positive Tests,70,cases,107.7,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/05/2022,Measures,Positive Tests,52,cases,105.7,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/06/2022,Measures,Positive Tests,30,cases,103.4,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/07/2022,Measures,Positive Tests,99,cases,92.6,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/08/2022,Measures,Positive Tests,109,cases,87.3,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/09/2022,Measures,Positive Tests,69,cases,77,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/10/2022,Measures,Positive Tests,97,cases,75.1,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/11/2022,Measures,Positive Tests,72,cases,75.4,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/12/2022,Measures,Positive Tests,36,cases,73.1,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/13/2022,Measures,Positive Tests,51,cases,76.1,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/14/2022,Measures,Positive Tests,124,cases,79.7,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/15/2022,Measures,Positive Tests,91,cases,77.1,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/16/2022,Measures,Positive Tests,90,cases,80.1,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/17/2022,Measures,Positive Tests,72,cases,76.6,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/18/2022,Measures,Positive Tests,63,cases,75.3,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/19/2022,Measures,Positive Tests,42,cases,76.1,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/20/2022,Measures,Positive Tests,64,cases,78,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/21/2022,Measures,Positive Tests,192,cases,87.7,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/22/2022,Measures,Positive Tests,188,cases,101.6,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/23/2022,Measures,Positive Tests,195,cases,116.6,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/24/2022,Measures,Positive Tests,144,cases,126.9,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/25/2022,Measures,Positive Tests,113,cases,134,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/26/2022,Measures,Positive Tests,95,cases,141.6,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/27/2022,Measures,Positive Tests,80,cases,143.9,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/28/2022,Measures,Positive Tests,249,cases,152,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/29/2022,Measures,Positive Tests,252,cases,161.1,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/30/2022,Measures,Positive Tests,266,cases,171.3,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/31/2022,Measures,Positive Tests,246,cases,185.9,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/01/2022,Measures,Positive Tests,193,cases,197.3,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/02/2022,Measures,Positive Tests,85,cases,195.9,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/03/2022,Measures,Positive Tests,107,cases,199.7,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/04/2022,Measures,Positive Tests,280,cases,204.1,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/05/2022,Measures,Positive Tests,342,cases,217,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/06/2022,Measures,Positive Tests,332,cases,226.4,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/07/2022,Measures,Positive Tests,283,cases,231.7,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/08/2022,Measures,Positive Tests,215,cases,234.9,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/09/2022,Measures,Positive Tests,113,cases,238.9,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/10/2022,Measures,Positive Tests,101,cases,238,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/11/2022,Measures,Positive Tests,489,cases,267.9,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/12/2022,Measures,Positive Tests,418,cases,278.7,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/13/2022,Measures,Positive Tests,440,cases,294.1,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/14/2022,Measures,Positive Tests,345,cases,303,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/15/2022,Measures,Positive Tests,299,cases,315,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/16/2022,Measures,Positive Tests,130,cases,317.4,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/17/2022,Measures,Positive Tests,74,cases,313.6,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/18/2022,Measures,Positive Tests,215,cases,274.4,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/19/2022,Measures,Positive Tests,549,cases,293.1,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/20/2022,Measures,Positive Tests,481,cases,299,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/21/2022,Measures,Positive Tests,398,cases,306.6,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/22/2022,Measures,Positive Tests,364,cases,315.9,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/23/2022,Measures,Positive Tests,129,cases,315.7,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/24/2022,Measures,Positive Tests,136,cases,324.6,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/25/2022,Measures,Positive Tests,608,cases,380.7,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/26/2022,Measures,Positive Tests,481,cases,371,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/27/2022,Measures,Positive Tests,,cases,,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/28/2022,Measures,Positive Tests,,cases,,cases (7-day moving avg),,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,01/22/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,01/27/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,01/29/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,02/03/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,03/04/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,03/05/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,03/06/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,03/07/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,03/08/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,03/09/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,03/10/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,03/11/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,03/12/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,03/13/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,03/14/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,03/15/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,03/16/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,03/17/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,03/18/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,03/19/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,03/20/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,03/21/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,03/22/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,03/23/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,03/24/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,03/25/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,03/26/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,03/27/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,03/28/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,03/29/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,03/30/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,03/31/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,04/01/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,04/02/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,04/03/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,04/04/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,04/05/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,04/06/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,04/07/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,04/08/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,04/09/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,04/10/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,04/11/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,04/12/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,04/13/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,04/14/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,04/15/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,04/16/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,04/17/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,04/18/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,04/19/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,04/20/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,04/21/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,04/22/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,04/23/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,04/24/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,04/25/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,04/26/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,04/27/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,04/28/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,04/29/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,04/30/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,05/01/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,05/02/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,05/03/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,05/04/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,05/05/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,05/06/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,05/07/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,05/08/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,05/09/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,05/10/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,05/11/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,05/12/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,05/13/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,05/14/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,05/15/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,05/16/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,05/17/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,05/18/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,05/19/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,05/20/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,05/21/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,05/22/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,05/23/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,05/24/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,05/25/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
COVID-19 Test Positivity,COVID-19 Test Positivity (Positive Test Rate),Dates,05/26/2020,Measures,Threshold (%),5,percentage,,"",,04/29/2022,""
